Mes;Categoria;Sede;Precio;Numero de Ventas
1;8;1;43;2
1;4;1;9;3
1;5;1;7;8
1;8;1;38;8
1;1;1;20;10
1;7;1;24;4
1;5;1;8;20
1;7;1;17;9
1;2;1;9;16
1;6;1;18;6
1;3;1;5;9
1;6;1;17;4
1;4;1;7;12
1;3;1;10;7
1;3;1;14;8
1;4;1;12;18
1;2;1;8;11
1;8;1;38;5
1;8;1;35;4
1;2;1;7;12
1;8;1;14;1
1;1;1;33;13
1;6;1;24;13
1;5;1;5;16
1;2;1;17;20
1;3;1;10;17
1;6;1;18;8
1;4;1;13;6
1;5;1;5;18
1;1;1;26;14
1;8;1;12;11
1;1;1;23;12
1;3;1;11;9
1;3;1;14;10
1;3;1;12;13
1;5;1;7;10
1;6;1;8;2
1;4;1;8;7
1;6;1;5;11
1;5;1;9;5
1;7;1;26;19
1;1;1;29;12
1;6;1;15;6
1;5;1;7;14
1;3;1;13;5
1;8;1;32;18
1;6;1;13;20
1;8;1;19;7
1;5;1;5;8
1;3;1;10;12
1;4;1;12;13
1;3;1;12;18
1;7;1;21;20
1;4;1;12;12
1;1;1;13;10
1;5;1;5;15
1;7;1;23;18
1;4;1;6;18
1;6;1;24;9
1;8;1;29;3
1;7;1;10;14
1;5;1;9;17
1;5;1;8;12
1;7;1;29;1
1;7;1;20;18
1;5;1;5;6
1;8;1;42;12
1;3;1;15;2
1;1;1;26;17
1;2;1;17;20
1;4;1;13;10
1;4;1;7;9
1;1;1;29;20
1;2;1;12;3
1;4;1;11;8
1;1;1;34;4
1;3;1;5;3
1;7;1;22;1
1;8;1;15;10
1;5;1;10;4
1;5;1;5;8
1;8;1;12;5
1;1;1;28;20
1;5;1;10;6
1;5;1;10;17
1;1;1;22;5
1;3;1;13;16
1;6;1;11;2
1;1;1;17;7
1;7;1;10;8
1;2;1;10;7
1;4;1;8;20
1;4;1;6;3
1;3;1;9;19
1;4;1;8;7
1;7;1;26;5
1;5;1;5;17
1;2;1;5;13
1;2;1;20;12
2;7;1;12;2
2;1;1;28;14
2;1;1;40;5
2;6;1;20;16
2;8;1;26;7
2;8;1;27;15
2;5;1;10;14
2;8;1;30;16
2;5;1;10;9
2;6;1;13;11
2;2;1;8;19
2;7;1;20;19
2;5;1;7;20
2;7;1;10;11
2;5;1;7;5
2;8;1;50;14
2;5;1;9;10
2;3;1;7;1
2;3;1;5;12
2;1;1;31;12
2;2;1;17;20
2;3;1;13;12
2;1;1;28;5
2;3;1;14;3
2;6;1;11;3
2;7;1;24;12
2;7;1;18;15
2;8;1;27;8
2;5;1;9;3
2;3;1;5;7
2;8;1;14;20
2;6;1;14;10
2;2;1;15;13
2;7;1;19;9
2;4;1;12;4
2;7;1;15;19
2;5;1;6;13
2;8;1;29;15
2;7;1;21;11
2;7;1;27;8
2;1;1;30;12
2;6;1;17;18
2;3;1;15;19
2;8;1;17;13
2;2;1;14;19
2;6;1;20;7
2;6;1;6;15
2;8;1;50;6
2;2;1;7;13
2;5;1;9;6
2;1;1;15;11
2;2;1;5;7
2;5;1;7;5
2;2;1;20;4
2;2;1;20;12
2;1;1;34;10
2;3;1;6;20
2;7;1;16;4
2;7;1;22;18
2;7;1;24;7
2;4;1;9;3
2;2;1;9;3
2;4;1;11;10
2;7;1;18;7
2;1;1;15;5
2;3;1;11;11
2;7;1;21;18
2;3;1;6;16
2;2;1;11;11
2;8;1;50;10
2;7;1;22;18
2;7;1;15;13
2;6;1;20;12
2;8;1;34;4
2;4;1;5;2
2;8;1;29;4
2;7;1;22;10
2;7;1;25;5
2;5;1;7;16
2;3;1;14;20
2;4;1;12;12
2;7;1;24;11
2;4;1;13;11
2;6;1;14;4
2;2;1;7;20
2;1;1;35;20
2;2;1;10;13
2;2;1;15;11
2;3;1;13;10
2;4;1;9;11
2;3;1;7;6
2;8;1;16;16
2;3;1;11;1
2;2;1;20;4
2;3;1;11;16
2;5;1;10;4
2;7;1;17;15
2;2;1;16;15
2;2;1;14;10
2;5;1;9;9
2;7;1;23;12
2;3;1;10;18
2;5;1;10;2
2;8;1;42;20
2;2;1;13;20
2;7;1;14;8
2;3;1;9;11
3;1;1;13;9
3;5;1;5;18
3;1;1;25;12
3;5;1;5;19
3;3;1;6;1
3;5;1;7;2
3;3;1;7;16
3;5;1;5;4
3;1;1;24;15
3;1;1;15;9
3;7;1;23;9
3;5;1;7;3
3;6;1;9;8
3;7;1;14;17
3;8;1;22;10
3;8;1;21;5
3;2;1;10;16
3;1;1;26;6
3;7;1;30;19
3;8;1;24;14
3;4;1;12;14
3;1;1;33;11
3;7;1;20;14
3;5;1;9;18
3;3;1;15;13
3;2;1;13;15
3;5;1;9;13
3;6;1;20;9
3;5;1;8;4
3;1;1;30;7
3;2;1;19;9
3;6;1;9;4
3;4;1;13;3
3;5;1;7;7
3;3;1;7;11
3;8;1;42;16
3;3;1;12;13
3;4;1;14;17
3;8;1;32;20
3;8;1;14;3
3;6;1;8;9
3;3;1;8;7
3;2;1;12;15
3;5;1;5;6
3;3;1;9;13
3;8;1;47;18
3;1;1;38;17
3;6;1;8;10
3;8;1;40;2
3;3;1;11;11
3;8;1;48;14
3;4;1;11;3
3;1;1;27;7
3;1;1;30;19
3;6;1;20;5
3;1;1;25;1
3;3;1;9;1
3;1;1;35;10
3;5;1;6;7
3;4;1;12;10
3;4;1;10;14
3;7;1;27;19
3;6;1;11;11
3;6;1;12;12
3;4;1;9;15
3;7;1;14;7
3;8;1;12;13
3;6;1;10;7
3;1;1;13;1
3;7;1;14;12
3;4;1;13;13
3;3;1;8;13
3;4;1;7;1
3;2;1;11;9
3;5;1;9;1
3;2;1;11;8
3;5;1;6;12
3;8;1;31;17
3;1;1;16;6
3;5;1;8;16
3;5;1;9;2
3;6;1;16;15
3;5;1;7;20
3;4;1;8;9
3;4;1;14;18
3;1;1;17;10
3;8;1;31;3
3;4;1;7;20
3;1;1;38;4
3;4;1;10;4
3;7;1;27;17
3;7;1;16;8
3;3;1;13;18
3;7;1;27;18
3;1;1;10;1
3;6;1;10;19
3;4;1;9;13
3;4;1;12;17
3;3;1;6;10
3;8;1;31;11
3;1;1;24;4
3;7;1;10;4
3;4;1;15;19
3;3;1;7;5
3;4;1;9;4
3;7;1;23;5
3;3;1;6;9
3;4;1;6;19
3;7;1;19;5
3;3;1;13;20
3;6;1;21;18
3;7;1;14;20
3;3;1;12;12
