"Mes","Categoria","Sede","Precio","Numero de Ventas"
"1","3","1","8","77"
"1","3","1","15","165"
"1","4","1","15","186"
"1","1","1","29","65"
"1","4","1","9","3"
"1","3","1","15","138"
"1","2","1","18","30"
"1","2","1","9","161"
"1","7","1","19","84"
"1","4","1","6","95"
"1","3","1","8","90"
"1","1","1","15","165"
"1","4","1","7","156"
"1","6","1","11","11"
"1","2","1","11","62"
"1","7","1","26","35"
"1","2","1","20","22"
"1","4","1","8","66"
"1","7","1","11","21"
"1","5","1","9","40"
"1","2","1","12","196"
"1","4","1","7","7"
"1","1","1","10","25"
"1","3","1","13","4"
"1","2","1","9","79"
"1","4","1","5","38"
"1","5","1","6","165"
"1","2","1","5","125"
"1","6","1","8","87"
"1","1","1","20","80"
"1","5","1","7","173"
"1","3","1","13","168"
"1","1","1","15","97"
"1","1","1","10","148"
"1","8","1","13","85"
"1","4","1","5","16"
"1","7","1","13","89"
"1","2","1","15","37"
"1","6","1","10","148"
"1","6","1","16","176"
"1","1","1","28","61"
"1","4","1","8","30"
"1","1","1","18","159"
"1","8","1","49","121"
"1","4","1","10","68"
"1","4","1","10","111"
"1","3","1","5","40"
"1","7","1","16","25"
"1","1","1","18","172"
"1","2","1","11","129"
"1","6","1","4","142"
"1","7","1","19","104"
"1","8","1","41","142"
"1","8","1","14","92"
"1","4","1","11","59"
"1","5","1","7","110"
"1","8","1","23","105"
"1","4","1","6","176"
"1","8","1","19","19"
"1","6","1","12","82"
"1","2","1","9","125"
"1","6","1","10","53"
"1","2","1","10","109"
"1","1","1","38","124"
"1","3","1","15","74"
"1","8","1","21","175"
"1","6","1","6","196"
"1","8","1","46","91"
"1","6","1","12","17"
"1","1","1","38","199"
"1","3","1","8","137"
"1","2","1","8","64"
"1","8","1","16","59"
"1","5","1","9","124"
"1","3","1","14","175"
"1","8","1","22","39"
"1","4","1","12","72"
"1","3","1","15","112"
"1","5","1","7","175"
"1","6","1","24","21"
"1","3","1","13","168"
"1","1","1","19","35"
"1","2","1","16","192"
"1","2","1","20","47"
"1","6","1","23","162"
"1","3","1","12","187"
"1","3","1","7","101"
"1","2","1","7","97"
"1","1","1","12","14"
"1","1","1","34","54"
"1","1","1","29","89"
"1","3","1","11","54"
"1","1","1","18","116"
"1","4","1","6","151"
"1","1","1","37","161"
"1","6","1","10","178"
"1","6","1","24","67"
"1","1","1","30","41"
"1","6","1","20","21"
"2","8","1","37","77"
"2","4","1","13","139"
"2","1","1","12","161"
"2","7","1","28","133"
"2","7","1","16","93"
"2","3","1","12","150"
"2","8","1","41","29"
"2","3","1","7","150"
"2","7","1","29","99"
"2","7","1","15","132"
"2","7","1","26","33"
"2","5","1","8","200"
"2","4","1","14","186"
"2","8","1","43","195"
"2","2","1","9","160"
"2","8","1","33","192"
"2","2","1","18","58"
"2","3","1","5","135"
"2","4","1","8","24"
"2","8","1","44","118"
"2","4","1","14","38"
"2","4","1","6","193"
"2","6","1","25","164"
"2","3","1","14","101"
"2","1","1","14","45"
"2","1","1","34","160"
"2","7","1","30","180"
"2","8","1","12","162"
"2","6","1","10","104"
"2","2","1","16","155"
"2","8","1","36","186"
"2","7","1","16","112"
"2","1","1","37","198"
"2","4","1","11","79"
"2","3","1","11","146"
"2","1","1","20","199"
"2","6","1","10","195"
"2","5","1","6","66"
"2","3","1","11","181"
"2","2","1","18","4"
"2","3","1","7","20"
"2","2","1","7","187"
"2","3","1","10","34"
"2","8","1","38","16"
"2","8","1","43","47"
"2","3","1","13","165"
"2","8","1","19","161"
"2","2","1","16","158"
"2","4","1","8","199"
"2","6","1","5","47"
"2","4","1","8","148"
"2","4","1","13","186"
"2","8","1","38","147"
"2","5","1","10","71"
"2","3","1","6","194"
"2","4","1","11","115"
"2","2","1","18","9"
"2","1","1","19","115"
"2","1","1","16","168"
"2","1","1","13","40"
"2","2","1","16","158"
"2","8","1","12","169"
"2","7","1","15","185"
"2","6","1","21","118"
"2","2","1","5","85"
"2","8","1","44","35"
"2","5","1","9","49"
"2","2","1","12","76"
"2","2","1","5","25"
"2","7","1","10","194"
"2","4","1","11","16"
"2","1","1","24","39"
"2","2","1","15","192"
"2","1","1","26","49"
"2","3","1","13","70"
"2","8","1","46","13"
"2","7","1","13","87"
"2","7","1","28","199"
"2","4","1","14","13"
"2","5","1","10","178"
"2","7","1","22","172"
"2","4","1","5","122"
"2","4","1","10","78"
"2","5","1","9","70"
"2","8","1","17","119"
"2","6","1","12","83"
"2","2","1","15","170"
"2","3","1","10","114"
"2","3","1","5","22"
"2","4","1","13","192"
"2","5","1","7","42"
"2","8","1","45","17"
"2","6","1","13","166"
"2","5","1","9","7"
"2","4","1","12","118"
"2","4","1","6","93"
"2","7","1","16","106"
"2","1","1","35","143"
"2","6","1","17","92"
