"Mes","Categoria","Sede","Precio","Numero de Ventas"
"1","1","1","26","159"
"0","0","1","0","22"
"1","1","1","36","78"
"1","1","1","26","30"
"0","0","1","0","69"
"0","0","1","0","174"
"0","1","1","36","25"
"0","0","1","0","89"
"0","0","1","0","150"
"0","0","1","0","152"
"0","1","1","35","95"
"1","0","1","0","194"
"0","0","1","0","45"
"1","1","1","13","67"
"0","0","1","0","69"
"0","0","1","0","112"
"0","1","1","28","178"
"0","1","1","24","21"
"1","1","1","30","170"
"0","1","1","16","91"
"0","1","1","20","7"
"1","1","1","31","92"
"1","1","1","21","134"
"1","1","1","21","51"
"0","0","1","0","61"
"1","0","1","0","23"
"1","1","1","18","70"
"0","1","1","12","26"
"0","1","1","25","24"
"0","0","1","0","52"
"1","1","1","31","44"
"1","0","1","0","164"
"0","0","1","0","49"
"0","0","1","0","33"
"0","0","1","0","112"
"1","1","1","32","188"
"0","0","1","0","192"
"1","0","1","0","44"
"1","1","1","34","9"
"0","0","1","0","106"
"1","1","1","18","133"
"1","1","1","21","62"
"0","0","1","0","25"
"1","1","1","30","35"
"1","0","1","0","48"
"0","1","1","17","123"
"0","1","1","28","16"
"1","1","1","17","25"
"0","0","1","0","23"
"0","1","1","28","94"
"0","1","1","21","164"
"1","1","1","37","63"
"1","0","1","0","81"
"1","0","1","0","156"
"0","0","1","0","131"
"0","0","1","0","7"
"1","1","1","24","70"
"1","1","1","11","88"
"0","0","1","0","70"
"1","0","1","0","56"
"0","1","1","19","17"
"1","0","1","0","54"
"1","0","1","0","3"
"1","0","1","0","167"
"1","1","1","23","30"
"0","0","1","0","108"
"0","1","1","27","159"
"1","0","1","0","171"
"1","0","1","0","158"
"0","0","1","0","113"
"1","1","1","22","109"
"1","0","1","0","66"
"0","0","1","0","194"
"0","1","1","10","134"
"0","0","1","0","123"
"1","0","1","0","3"
"1","0","1","0","104"
"1","0","1","0","44"
"1","0","1","0","82"
"1","1","1","14","41"
"1","0","1","0","75"
"1","1","1","28","77"
"0","1","1","33","3"
"0","1","1","21","87"
"1","1","1","14","10"
"1","0","1","0","139"
"0","1","1","21","17"
"1","1","1","34","19"
"1","1","1","14","167"
"1","1","1","26","83"
"1","0","1","0","52"
"1","0","1","0","118"
"1","0","1","0","75"
"1","1","1","33","159"
"1","1","1","12","104"
"1","1","1","32","136"
"1","1","1","11","9"
"1","1","1","30","121"
"1","0","1","0","100"
"0","1","1","29","57"
"1","0","1","0","56"
"0","0","1","0","50"
"1","1","1","19","18"
"0","1","1","12","137"
"1","0","1","0","83"
"0","1","1","33","79"
"0","0","1","0","149"
"1","0","1","0","103"
"0","1","1","22","132"
"0","0","1","0","109"
"1","1","1","24","57"
"1","0","1","0","188"
"0","0","1","0","19"
"0","0","1","0","9"
"1","0","1","0","14"
"0","1","1","23","109"
"1","0","1","0","183"
"0","0","1","0","44"
"0","1","1","23","179"
"0","0","1","0","98"
"0","1","1","37","121"
"1","0","1","0","198"
"1","0","1","0","124"
"0","0","1","0","38"
"0","1","1","17","154"
"1","1","1","12","18"
"0","0","1","0","22"
"0","1","1","16","165"
"1","1","1","16","28"
"1","1","1","20","106"
"1","0","1","0","60"
"1","0","1","0","30"
"0","1","1","17","167"
"0","1","1","25","68"
"1","0","1","0","99"
"1","1","1","29","122"
"0","0","1","0","180"
"1","0","1","0","102"
"0","0","1","0","1"
"0","0","1","0","130"
"1","0","1","0","84"
"0","0","1","0","189"
"0","1","1","13","191"
"1","0","1","0","58"
"1","0","1","0","98"
"0","1","1","39","85"
"0","0","1","0","45"
"1","0","1","0","49"
"1","0","1","0","56"
"1","0","1","0","50"
"1","0","1","0","81"
"1","0","1","0","22"
"1","1","1","10","114"
"1","0","1","0","189"
"0","1","1","33","181"
"1","0","1","0","116"
"1","1","1","32","4"
"0","1","1","34","114"
"1","0","1","0","83"
"1","1","1","31","3"
"0","1","1","18","21"
"1","0","1","0","56"
"1","0","1","0","90"
"1","1","1","40","30"
"1","1","1","15","3"
"0","0","1","0","25"
"0","0","1","0","32"
"1","0","1","0","70"
"1","0","1","0","72"
"1","0","1","0","157"
"1","0","1","0","66"
"1","1","1","20","28"
"0","1","1","23","105"
"0","1","1","11","49"
"1","0","1","0","4"
"0","0","1","0","126"
"0","0","1","0","71"
"0","0","1","0","4"
"0","1","1","22","46"
"1","1","1","17","163"
"0","1","1","12","162"
"0","1","1","24","5"
"1","1","1","19","185"
"1","0","1","0","143"
"0","1","1","24","72"
"0","1","1","17","142"
"0","0","1","0","149"
"0","0","1","0","38"
"1","1","1","35","83"
"1","0","1","0","25"
"1","1","1","20","48"
"0","0","1","0","42"
"0","1","1","12","147"
"1","1","1","38","115"
"1","0","1","0","29"
"0","1","1","17","105"
"1","1","1","18","95"
"1","1","1","24","8"
"1","1","1","12","17"
"0","1","1","24","133"
"0","0","1","0","104"
"1","1","1","19","53"
"1","1","1","18","12"
"1","0","1","0","146"
"0","0","1","0","194"
"0","0","1","0","116"
"0","1","1","36","171"
"0","0","1","0","22"
"1","1","1","20","116"
"0","0","1","0","58"
"1","0","1","0","44"
"0","0","1","0","195"
"1","0","1","0","79"
"0","1","1","29","182"
"0","0","1","0","140"
"0","1","1","28","160"
"1","0","1","0","192"
"1","0","1","0","119"
"1","0","1","0","2"
"1","1","1","28","7"
"0","1","1","18","85"
"1","0","1","0","185"
"1","0","1","0","58"
"1","1","1","36","16"
"0","1","1","16","22"
"0","0","1","0","14"
"1","0","1","0","65"
"0","1","1","20","80"
"1","1","1","13","189"
"1","0","1","0","80"
"1","0","1","0","197"
"0","0","1","0","177"
"0","0","1","0","179"
"1","1","1","28","87"
"0","1","1","31","68"
"1","0","1","0","173"
"1","1","1","38","85"
"0","1","1","13","158"
"1","1","1","16","134"
"0","0","1","0","123"
"1","0","1","0","127"
"0","1","1","15","197"
"1","1","1","28","105"
"1","1","1","18","177"
"0","0","1","0","131"
"1","0","1","0","159"
"1","0","1","0","55"
"0","0","1","0","168"
"0","0","1","0","44"
"0","0","1","0","125"
"1","1","1","38","156"
"0","1","1","19","50"
"0","0","1","0","108"
"0","1","1","33","74"
"1","0","1","0","37"
"1","0","1","0","46"
"0","0","1","0","127"
"0","1","1","22","117"
"1","1","1","39","52"
"1","1","1","18","78"
"1","0","1","0","107"
"1","1","1","36","122"
"0","1","1","14","74"
"0","0","1","0","42"
"1","1","1","25","45"
"1","1","1","13","95"
"0","0","1","0","184"
"0","1","1","23","102"
"1","0","1","0","162"
"0","1","1","36","189"
"1","0","1","0","125"
"1","0","1","0","22"
"1","1","1","20","189"
"1","1","1","29","28"
"0","1","1","34","93"
"1","0","1","0","67"
"0","1","1","19","162"
"0","1","1","10","85"
"0","1","1","35","154"
"0","0","1","0","156"
